stop_id,best_view,selected_image_filename,final_image_path,bus_stop_visible,bus_stop_visibility_confidence,stop_surface,landing_type,sidewalk_connection,landing_pad,shelter_number,bench_number,trash_can_number,street_lighting,used_scraped_images,scraped_image_count,initial_bus_stop_visible,initial_bus_stop_visibility_confidence,initial_selected_image_filename,notes
1927,center,1927_Erwin_Rd_at_Emergency_Dr_EB_2025-09_center_heading-158.jpg,final_images/1927_Erwin_Rd_at_Emergency_Dr_EB_2025-09_center_heading-158.jpg,Yes,0.8,Concrete,Paved,Yes,Two_doors,0,0,0,Yes,,,,,,The bus stop is marked by a blue GoDurham transit pylon/totem located on the concrete sidewalk corner near the pedestrian signal.
5002,center,5002_Riddle_Rd_at_Ancroft_Ave_NB_2025-01_center_heading-196.jpg,final_images/5002_Riddle_Rd_at_Ancroft_Ave_NB_2025-01_center_heading-196.jpg,Yes,0.9,Grass,Unpaved,NA,NA,0,0,1,No,,,,,,The bus stop is located on a grassy shoulder with a trash can and a bus stop sign pole visible.
5003,left,5003_Alston_Ave_at_Main_St_NB_2022-10_left_heading-121.jpg,final_images/5003_Alston_Ave_at_Main_St_NB_2022-10_left_heading-121.jpg,Unclear,0.7,Concrete,Paved,Yes,Two_doors,0,0,0,No,,,,,,"No bus stop sign or pole is clearly visible in any of the views. The sidewalk is directly adjacent to the curb, providing a paved landing area."
5004,left,5004_Alston_Ave_at_Main_St_SB_2025-09_left_heading-278.jpg,final_images/5004_Alston_Ave_at_Main_St_SB_2025-09_left_heading-278.jpg,Yes,1.0,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,,,,,,"The bus stop sign is clearly visible on the left view. There is a sidewalk, but it is separated from the curb by a grass strip, meaning there is no direct paved connection to the curb for boarding."
5005,right,5005_Cornwallis_Rd_at_Industry_Ln_2025-01_right_heading-270.jpg,final_images/5005_Cornwallis_Rd_at_Industry_Ln_2025-01_right_heading-270.jpg,Yes,0.8,Grass,Unpaved,NA,NA,0,0,0,No,,,,,,"The bus stop is marked by a yellow and blue post on the grass next to the road, visible in the right view. There is no sidewalk or paved landing pad."
5006,left,5006_Alston_Ave_at_Linwood_Ave_NB_2025-09_left_heading-68.jpg,final_images/5006_Alston_Ave_at_Linwood_Ave_NB_2025-09_left_heading-68.jpg,Yes,1.0,Concrete,Paved,Yes,Two_doors,0,1,1,Yes,,,,,,"The bus stop is clearly visible in the left view, featuring a concrete sidewalk directly adjacent to the road, a bench, a trash can, and street lighting."
5008,left,5008_S_Alston_Ave_at_Massey_Ave_NB_2025-01_left_heading-67.jpg,final_images/5008_S_Alston_Ave_at_Massey_Ave_NB_2025-01_left_heading-67.jpg,Yes,1.0,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,,,,,,"The bus stop sign is located in a grassy area next to a residential property. A sidewalk is visible nearby, but a rider would have to stand on the grass to board the bus. Residential trash bins are visible in the background but are not bus stop amenities."
5010,left,5010_Durham_Station_Pettigrew_North_Platform_2025-09_left_heading-172.jpg,final_images/5010_Durham_Station_Pettigrew_North_Platform_2025-09_left_heading-172.jpg,Yes,0.9,Concrete,Paved,Yes,Two_doors,1,0,0,Yes,,,,,,The bus stop platform is currently under construction and fenced off. A large concrete platform and canopy structure are visible but not yet open for public use.
5011,left,5011_Durham_Station_Pettigrew_South_Platform_2025-09_left_heading-178.jpg,final_images/5011_Durham_Station_Pettigrew_South_Platform_2025-09_left_heading-178.jpg,Yes,0.9,Concrete,Paved,Yes,Two_doors,1,0,0,Yes,,,,,,The bus stop/station platform is currently under construction and fenced off. A large concrete platform and canopy structure are visible behind the construction fence.
5012,left,5012_Durham_Station_Parking_Deck_Platform_2021-09_left_heading-71.jpg,final_images/5012_Durham_Station_Parking_Deck_Platform_2021-09_left_heading-71.jpg,No,0.9,Concrete,Paved,Yes,Two_doors,0,0,0,No,,,,,,"No bus stop sign, pole, or transit amenities are visible in any of the views. The classification is based on the concrete sidewalk and curb visible in the foreground of the left view."
5017,left,5017_Chapel_Hill_Rd_at_McGehee_St_NB_2025-09_left_heading-124.jpg,final_images/5017_Chapel_Hill_Rd_at_McGehee_St_NB_2025-09_left_heading-124.jpg,Yes,0.8,Grass,Unpaved,NA,NA,0,0,0,No,,,,,,"The bus stop sign is on a metal post next to the utility pole, partially obscured by the large tree. The boarding area is a grass shoulder with no sidewalk."
5018,left,5018_Morehead_Ave_at_Vickers_Ave_WB_2025-09_left_heading-319.jpg,final_images/5018_Morehead_Ave_at_Vickers_Ave_WB_2025-09_left_heading-319.jpg,Yes,1.0,Concrete,Unpaved_Grass_Strip_And_Sidewalk,Yes,One_door,0,0,0,No,,,,,,"The bus stop sign is mounted on a wooden utility pole at the corner. The boarding area at the pole is concrete, but there is a grass strip between the sidewalk and the curb further back along the street, meaning only one door would have a paved landing."
5021,center,5021_Chapel_Hill_Rd_at_W_Cornwallis_Rd_SB1_2025-09_center_heading-290.jpg,final_images/5021_Chapel_Hill_Rd_at_W_Cornwallis_Rd_SB1_2025-09_center_heading-290.jpg,Unclear,0.4,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,Yes,,,,,,"Bus stop sign is not clearly identifiable. The intersection corner has a sidewalk separated from the curb by a grass strip, with no visible paved landing pad or connection."
5023,left,5023_Avondale_Dr_at_E_Markham_Ave_SB_2025-04_left_heading-203.jpg,final_images/5023_Avondale_Dr_at_E_Markham_Ave_SB_2025-04_left_heading-203.jpg,No,0.9,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,,,,,,No bus stop sign or amenities are visible in any of the images. The classification is based on the left view showing a sidewalk separated from the curb by a grass strip.
5027,center,5027_Club_Blvd_at_Gregson_St_2025-09_center_heading-161.jpg,final_images/5027_Club_Blvd_at_Gregson_St_2025-09_center_heading-161.jpg,Yes,1.0,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,,,,,,The bus stop sign is located on a grass strip between the road and the sidewalk. There is no paved connection from the sidewalk to the curb.
5030,center,5030_Duke_St_at_Main_St_2020-04_center_heading-136.jpg,final_images/5030_Duke_St_at_Main_St_2020-04_center_heading-136.jpg,Yes,0.9,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,1,Yes,,,,,,"The bus stop is marked by a sign with a yellow bottom plate located in the grass strip. A sidewalk runs behind the grass strip, but there is no paved connection to the curb. A green trash bin is visible next to the utility box."
5031,center,5031_Carver_St_at_Guess_Rd_2025-04_center_heading-316.jpg,final_images/5031_Carver_St_at_Guess_Rd_2025-04_center_heading-316.jpg,Yes,1.0,Grass,Unpaved,NA,NA,0,0,0,No,,,,,,"The bus stop is marked by a small sign below the speed limit sign on the utility pole. The boarding area is grass, though there are some small concrete utility pads nearby."
5032,center,5032_Roxboro_Rd_at_Lavender_Rd_2025-04_center_heading-267.jpg,final_images/5032_Roxboro_Rd_at_Lavender_Rd_2025-04_center_heading-267.jpg,Yes,0.8,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,,,,,,"A bus stop sign pole is visible in the center and right views, positioned in the grass strip. A sidewalk is present but separated from the road by a grass strip, with no paved connection."
5033,center,5033_Roxboro_Rd_at_Bush_Dr_2025-09_center_heading-253.jpg,final_images/5033_Roxboro_Rd_at_Bush_Dr_2025-09_center_heading-253.jpg,Unclear,0.7,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,Yes,,,,,,"No bus stop sign or pole is clearly visible in the images. The stop is assumed to be in the grassy area near the utility pole along Roxboro Rd, where there is a sidewalk separated from the curb by a grass strip."
5035,center,5035_Angier_Ave_at_Pleasant_Dr_2025-09_center_heading-30.jpg,final_images/5035_Angier_Ave_at_Pleasant_Dr_2025-09_center_heading-30.jpg,Unclear,0.8,Grass,Unpaved,NA,NA,0,0,0,No,,,,,,No bus stop sign or pole is visible in any of the views. The area is an unpaved grassy shoulder next to a fenced parking lot.
5039,left,5039_Fayetteville_St_at_Piedmont_Ave_SB_2025-09_left_heading-241.jpg,final_images/5039_Fayetteville_St_at_Piedmont_Ave_SB_2025-09_left_heading-241.jpg,Yes,1.0,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,1,Yes,,,,,,"The bus stop is marked by a sign on a pole. There is a trash can next to the sidewalk. The boarding area is a grass strip between the sidewalk and the curb, meaning there is no direct paved connection to the street."
5042,left,5042_University_Dr_at_Weymouth_St_WB_2025-01_left_heading-331.jpg,final_images/5042_University_Dr_at_Weymouth_St_WB_2025-01_left_heading-331.jpg,Yes,0.8,Concrete,Paved,Yes,Two_doors,0,1,0,Yes,,,,,,A blue bench is visible on the concrete sidewalk. A street light is visible on the utility pole in the left view.
5043,left,5043_Holloway_St_at_Adams_St_EB_2025-09_left_heading-170.jpg,final_images/5043_Holloway_St_at_Adams_St_EB_2025-09_left_heading-170.jpg,Yes,1.0,Concrete,Paved,Yes,One_door,1,1,1,No,,,,,,"The bus stop features a concrete landing pad with a shelter, a bench inside, and a trash can. The pad connects directly to the sidewalk network."
5044,left,5044_Duke_St_at_Harper_Pl_2025-04_left_heading-47.jpg,final_images/5044_Duke_St_at_Harper_Pl_2025-04_left_heading-47.jpg,No,0.9,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,,,,,,No bus stop sign or amenities are visible in any of the images. The classification is based on the sidewalk and grass strip area shown in the left view.
5045,right,5045_Roxboro_Rd_at_Edgewood_Dr_2025-03_right_heading-300.jpg,final_images/5045_Roxboro_Rd_at_Edgewood_Dr_2025-03_right_heading-300.jpg,Yes,1.0,Concrete,Paved,Yes,Two_doors,0,0,0,No,,,,,,The bus stop sign is clearly visible mounted on the wooden utility pole in the foreground of the right view. The boarding area is a continuous concrete sidewalk/driveway apron.
5047,right,5047_Roxboro_Rd_at_Markham_Ave_south_2025-03_right_heading-93.jpg,final_images/5047_Roxboro_Rd_at_Markham_Ave_south_2025-03_right_heading-93.jpg,Yes,1.0,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,,,,,,"The bus stop sign is clearly visible in the right view. There is a sidewalk separated from the road by a grass strip, meaning there is no direct paved connection to the curb."
5048,left,5048_Chapel_Hill_Rd_at_Pinecrest_Rd_2025-09_left_heading-319.jpg,final_images/5048_Chapel_Hill_Rd_at_Pinecrest_Rd_2025-09_left_heading-319.jpg,Yes,0.9,Grass,Unpaved,No,NA,0,0,0,No,,,,,,The bus stop is marked by a white sign on a metal post located in a pine-needle covered unpaved area near the intersection. A sidewalk is visible at the corner intersection but does not connect directly to the bus stop boarding area.
5054,center,5054_University_Dr_at_Larchmont_Dr_2025-01_center_heading-21.jpg,final_images/5054_University_Dr_at_Larchmont_Dr_2025-01_center_heading-21.jpg,No,0.9,Concrete,Paved,Yes,Two_doors,0,0,0,Yes,,,,,,No bus stop sign or infrastructure is visible in any of the views. The location has a concrete sidewalk and a street light on a utility pole.
5055,left,5055_Gregson_St_at_Englewood_Ave_2025-03_left_heading-244.jpg,final_images/5055_Gregson_St_at_Englewood_Ave_2025-03_left_heading-244.jpg,Yes,1.0,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,,,,,,The bus stop sign is located on a grass strip between the curb and the sidewalk. A pedestrian is standing next to the pole.
5056,left,5056_Lawson_St_at_Sima_Ave_EB_2025-01_left_heading-143.jpg,final_images/5056_Lawson_St_at_Sima_Ave_EB_2025-01_left_heading-143.jpg,Yes,0.8,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,,,,,,The bus stop is marked by a sign pole on the grass strip between the curb and the sidewalk. There is no paved connection from the sidewalk to the curb.
5057,left,5057_Angier_Ave_at_Driver_St_EB_2025-09_left_heading-207.jpg,final_images/5057_Angier_Ave_at_Driver_St_EB_2025-09_left_heading-207.jpg,Yes,0.9,Concrete,Paved,Yes,Two_doors,0,0,1,Yes,,,,,,The bus stop is located on a wide concrete sidewalk at the corner. A trash can is present next to the sign pole. A truck is parked in the boarding area.
5060,left,5060_Dearborn_Dr_at_Ruth_St_2025-09_left_heading-3.jpg,final_images/5060_Dearborn_Dr_at_Ruth_St_2025-09_left_heading-3.jpg,Yes,0.95,Grass,Unpaved,NA,NA,0,0,0,No,,,,,,The bus stop is marked by a blue GoDurham sign on the grass. There is no sidewalk or paved landing pad. A white pickup truck is parked on the grass near the sign.
5064,right,5064_Otis_St_at_Red_Oak_Ave_2025-01_right_heading-23.jpg,final_images/5064_Otis_St_at_Red_Oak_Ave_2025-01_right_heading-23.jpg,No,0.9,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,,,,,,"No bus stop sign, pole, or markings are visible in any of the views. A sidewalk is visible set back from the curb behind a grass strip, but there is no paved connection to the curb."
5067,left,5067_Geer_St_at_Mangum_St_2007-08_left_heading-324.jpg,final_images/5067_Geer_St_at_Mangum_St_2007-08_left_heading-324.jpg,No,0.9,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,,,,,,No bus stop sign or amenities are visible in any of the images. The classification is based on the assumed stop location on the grass strip next to the sidewalk in the left view.
5075,left,5075_Milton_Rd_at_Eno_Valley_Elementary_SB_2025-09_left_heading-140.jpg,final_images/5075_Milton_Rd_at_Eno_Valley_Elementary_SB_2025-09_left_heading-140.jpg,No,0.9,Grass,Unpaved,NA,NA,0,0,0,Yes,,,,,,"No bus stop sign, pole, or passenger amenities are visible in any of the views. The roadside area consists entirely of grass with no sidewalk."
5078,left,5078_Trent_Dr_at_Duke_Clinics_2017-04_left_heading-35.jpg,final_images/5078_Trent_Dr_at_Duke_Clinics_2017-04_left_heading-35.jpg,Yes,1.0,Concrete,Paved,Yes,Two_doors,1,1,0,Yes,,,,,,"The bus stop features a large concrete shelter with a built-in bench and recessed ceiling lights. The landing area is a wide, continuous concrete sidewalk."
5080,right,5080_Fayetteville_St_at_Homeland_Ave_NB_2025-01_right_heading-116.jpg,final_images/5080_Fayetteville_St_at_Homeland_Ave_NB_2025-01_right_heading-116.jpg,Yes,0.8,Concrete,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,1,No,,,,,,The bus stop is located on a concrete sidewalk separated from the curb by a grass strip. A trash can and a sign pole are visible in the right view.
5081,left,5081_Trent_Dr_at_Duke_Circle_Parking_Deck_2017-04_left_heading-53.jpg,final_images/5081_Trent_Dr_at_Duke_Circle_Parking_Deck_2017-04_left_heading-53.jpg,Yes,0.85,Concrete,Paved,Yes,Two_doors,0,0,0,No,,,,,,"The bus itself is parked at the stop, blocking the center and right views. The left view shows the concrete sidewalk boarding area next to the bus."
5084,center,5084_Old_Farm_Rd_at_Roxboro_St_JFK_Towers_2025-09_center_heading-95.jpg,final_images/5084_Old_Farm_Rd_at_Roxboro_St_JFK_Towers_2025-09_center_heading-95.jpg,Yes,1.0,Concrete,Paved,Yes,Two_doors,1,1,1,Yes,,,,,,"The bus stop features a shelter with a bench inside, a trash can, and a large concrete boarding pad connected to the sidewalk. A street light is visible in the background."
5089,center,5089_Duke_St_at_Englewood_Ave_2025-03_center_heading-192.jpg,final_images/5089_Duke_St_at_Englewood_Ave_2025-03_center_heading-192.jpg,Yes,1.0,Grass,Unpaved,NA,NA,0,0,0,No,False,0,Yes,1.0,5089_Duke_St_at_Englewood_Ave_2025-03_center_heading-192.jpg,The bus stop is marked by a vertical sign on a metal post. The boarding area is entirely grass with no sidewalk connection or paved landing pad.
5091,left,5091_E_Club_Blvd_at_Glenbrook_Dr_SB_2025-09_left_heading-319.jpg,final_images/5091_E_Club_Blvd_at_Glenbrook_Dr_SB_2025-09_left_heading-319.jpg,Unclear,0.7,Grass,Unpaved,NA,NA,0,0,0,No,False,0,Unclear,0.7,5091_E_Club_Blvd_at_Glenbrook_Dr_SB_2025-09_left_heading-319.jpg,"The bus stop sign is not clearly visible in the images, although a sliver of a post is visible on the far right edge of the right image. The boarding area at the corner is entirely grass with no sidewalk."
5093,center,5093_University_Dr_at_South_Square_Mall_2025-01_center_heading-321.jpg,final_images/5093_University_Dr_at_South_Square_Mall_2025-01_center_heading-321.jpg,Yes,1.0,Concrete,Paved,Yes,Two_doors,1,1,1,Yes,False,0,Yes,1.0,5093_University_Dr_at_South_Square_Mall_2025-01_center_heading-321.jpg,"The bus stop features a shelter with an integrated bench, a trash can, and a street light pole directly adjacent to the concrete landing area/sidewalk."
5094,left,5094_Lakewood_Ave_at_Blackwell_St_2025-09_left_heading-316.jpg,final_images/5094_Lakewood_Ave_at_Blackwell_St_2025-09_left_heading-316.jpg,Yes,1.0,Concrete,Paved,Yes,Two_doors,0,0,1,No,False,0,Yes,1.0,5094_Lakewood_Ave_at_Blackwell_St_2025-09_left_heading-316.jpg,The bus stop is clearly identified by a sign on the left. It features a concrete sidewalk with a curb ramp and yellow tactile warning tiles. A concrete trash can is located near the utility pole.
5099,right,5099_Carver_St_at_Patrick_Henry_Dr_EB_2025-09_right_heading-149.jpg,final_images/5099_Carver_St_at_Patrick_Henry_Dr_EB_2025-09_right_heading-149.jpg,Yes,1.0,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,1,0,No,False,0,Yes,1.0,5099_Carver_St_at_Patrick_Henry_Dr_EB_2025-09_right_heading-149.jpg,"The bus stop features a sign and a small two-seat bench installed on the sidewalk. A grass strip separates the sidewalk from the curb, resulting in no direct paved connection to the street."
5100,left,5100_Weaver_St_at_Weaver_St_Park_2025-01_left_heading-289.jpg,final_images/5100_Weaver_St_at_Weaver_St_Park_2025-01_left_heading-289.jpg,Yes,0.9,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,1,0,No,False,0,Yes,0.9,5100_Weaver_St_at_Weaver_St_Park_2025-01_left_heading-289.jpg,"The bus stop features a blue Simme-seat (small bench) and a signpost. There is a sidewalk separated from the curb by a grass strip, meaning there is no direct paved connection to the curb at the boarding point."
5105,left,5105_Duke_Regional_Hospital_NB_2016-07_left_heading-16.jpg,final_images/5105_Duke_Regional_Hospital_NB_2016-07_left_heading-16.jpg,Yes,1.0,Concrete,Paved,Yes,Two_doors,1,1,1,No,False,0,Yes,1.0,5105_Duke_Regional_Hospital_NB_2016-07_left_heading-16.jpg,"The bus stop features a shelter with an integrated bench, a trash can, and a blue emergency/information column on a continuous concrete sidewalk/landing pad."
5106,right,5106_Erwin_Rd_at_Research_Dr_2025-09_right_heading-206.jpg,final_images/5106_Erwin_Rd_at_Research_Dr_2025-09_right_heading-206.jpg,Yes,0.9,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,False,0,Yes,0.9,5106_Erwin_Rd_at_Research_Dr_2025-09_right_heading-206.jpg,"The bus stop is identified by the blue Duke Transit sign in the 'right' image. There is a sidewalk separated from the curb by a grass strip, meaning the landing type is Unpaved_Grass_Strip_And_Sidewalk and sidewalk connection is No. No shelter, bench, trash can, or street lighting is visible in the selected 'right' image, although a trash can and street light are visible further down the street in the other views."
5111,left,5111_Lawson_St_at_Merrick_St_Pearson_Cafeteria_2025-01_left_heading-174.jpg,final_images/5111_Lawson_St_at_Merrick_St_Pearson_Cafeteria_2025-01_left_heading-174.jpg,Yes,1.0,Concrete,Paved,Yes,Two_doors,1,1,0,No,False,0,Yes,1.0,5111_Lawson_St_at_Merrick_St_Pearson_Cafeteria_2025-01_left_heading-174.jpg,"The bus stop features a shelter with an integrated bench on a concrete sidewalk. The sidewalk is continuous along the curb, providing a paved landing area suitable for two-door boarding."
5112,right,5112_Angier_Ave_at_Commonwealth_St_2025-05_right_heading-24.jpg,final_images/5112_Angier_Ave_at_Commonwealth_St_2025-05_right_heading-24.jpg,Yes,1.0,Grass,Unpaved,NA,NA,0,0,0,No,False,0,Yes,1.0,5112_Angier_Ave_at_Commonwealth_St_2025-05_right_heading-24.jpg,The bus stop is marked by a brown 'CITY BUS STOP' sign on the grassy shoulder at the corner of Angier Ave and Commonwealth St. The boarding area is entirely unpaved grass with no sidewalk connection.
5116,left,5116_Roxboro_St_at_Duke_St_Autozone_2025-09_left_heading-54.jpg,final_images/5116_Roxboro_St_at_Duke_St_Autozone_2025-09_left_heading-54.jpg,Yes,1.0,Grass,Unpaved,NA,NA,0,0,0,No,False,0,Yes,1.0,5116_Roxboro_St_at_Duke_St_Autozone_2025-09_left_heading-54.jpg,The bus stop sign is located on a grass shoulder next to an AutoZone parking lot. There is no sidewalk or paved landing pad.
5117,left,5117_Glenbrook_Dr_at_Dubonnet_Pl_SB_2025-04_left_heading-202.jpg,final_images/5117_Glenbrook_Dr_at_Dubonnet_Pl_SB_2025-04_left_heading-202.jpg,Yes,0.9,Concrete,Paved,Yes,Two_doors,0,1,0,Yes,False,0,Yes,0.9,5117_Glenbrook_Dr_at_Dubonnet_Pl_SB_2025-04_left_heading-202.jpg,"The bus stop features a blue Simme-seat pole with two seats and an integrated street light, located on a concrete sidewalk directly adjacent to the curb."
5118,center,5118_Martin_Luther_King_Jr_Pkwy_at_Lake_Camp_Rd_2025-01_center_heading-64.jpg,final_images/5118_Martin_Luther_King_Jr_Pkwy_at_Lake_Camp_Rd_2025-01_center_heading-64.jpg,Yes,1.0,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,1,1,1,No,False,0,Yes,1.0,5118_Martin_Luther_King_Jr_Pkwy_at_Lake_Camp_Rd_2025-01_center_heading-64.jpg,"The bus stop has a shelter and a trash can. There is a grass strip between the sidewalk and the curb, meaning there is no direct paved connection to the curb."
5119,center,5119_Roxboro_Rd_at_Ellerbee_St_NB_2025-04_center_heading-89.jpg,final_images/5119_Roxboro_Rd_at_Ellerbee_St_NB_2025-04_center_heading-89.jpg,Unclear,0.7,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,False,0,Unclear,0.7,5119_Roxboro_Rd_at_Ellerbee_St_NB_2025-04_center_heading-89.jpg,No clear bus stop sign or pole is visible in the images. The classification is based on the assumed stop location along the sidewalk with a grass strip next to the curb.
5125,center,5125_Hillsborough_Rd_at_W_Knox_St_2025-03_center_heading-69.jpg,final_images/5125_Hillsborough_Rd_at_W_Knox_St_2025-03_center_heading-69.jpg,Yes,0.8,Grass,Unpaved,NA,NA,0,0,0,No,False,0,Yes,0.8,5125_Hillsborough_Rd_at_W_Knox_St_2025-03_center_heading-69.jpg,The bus stop sign pole is visible on the grass shoulder next to the wooden utility pole. There is no sidewalk or paved landing pad.
5126,left,5126_Avondale_Dr_at_E_Knox_St_SB_2025-09_left_heading-197.jpg,final_images/5126_Avondale_Dr_at_E_Knox_St_SB_2025-09_left_heading-197.jpg,Unclear,0.3,Grass,Unpaved,NA,NA,0,0,0,No,False,0,Unclear,0.3,5126_Avondale_Dr_at_E_Knox_St_SB_2025-09_left_heading-197.jpg,"A Go Durham bus is blocking the entire view of the bus stop area in all images, making it impossible to confirm the presence of a sign, landing pad, or sidewalk connection."
5127,right,5127_Seven_Oaks_Rd_at_Riverview_Shopping_Center_2025-09_right_heading-57.jpg,final_images/5127_Seven_Oaks_Rd_at_Riverview_Shopping_Center_2025-09_right_heading-57.jpg,Yes,1.0,Concrete,Paved,Yes,Two_doors,1,1,1,No,False,0,Yes,1.0,5127_Seven_Oaks_Rd_at_Riverview_Shopping_Center_2025-09_right_heading-57.jpg,"The bus stop features a shelter with an integrated bench, a trash can, and a painted concrete landing pad connected directly to a continuous sidewalk along the curb."
